feature,gain,split
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MIN,6086.7196124076845,286.6
BUREAU_CREDIT_ACTIVE_Active_MEAN,6027.598822069168,249.0
APPROVED_DAYS_FIRST_DUE_MEAN,5951.371854829788,296.3
INS_36M_AMT_PAYMENT_MEAN,5855.492128562927,285.2
APPROVED_HOUR_APPR_PROCESS_START_MAX,5839.362287521362,257.5
APPROVED_AMT_ANNUITY_MEAN,5835.143898820877,301.5
PREV_RATE_DOWN_PAYMENT_MAX,5826.216462135315,276.6
AGE_RANGE,5809.622336387634,189.2
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MEAN,5786.390319108963,258.9
POS_MONTHS_BALANCE_MAX,5763.877499198914,252.7
REFUSED_APPLICATION_CREDIT_DIFF_VAR,5759.178911018372,259.2
PREV_APPLICATION_CREDIT_RATIO_MAX,5718.874262857437,250.9
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MAX,5660.288393306732,296.7
BUREAU_STATUS_0_MEAN,5656.422323417663,317.3
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MAX,5655.366841983795,258.8
LAST_LOAN_LATE_PAYMENT_count,5595.29113035202,283.4
APARTMENTS_MEDI,5580.452609157563,270.3
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,5569.349949264526,265.4
REFUSED_APPLICATION_CREDIT_RATIO_MIN,5526.488870954514,194.8
INS_36M_AMT_INSTALMENT_MEAN,5524.029289150238,270.7
PREV_LAST24M_AMT_ANNUITY_MAX,5519.263298511505,282.1
PREV_DAYS_DECISION_MIN,5501.853082895279,251.4
REFUSED_DAYS_DECISION_MIN,5495.7582472324375,251.6
PREV_APPLICATION_CREDIT_RATIO_MIN,5492.753476333618,241.2
REFUSED_APPLICATION_CREDIT_DIFF_MAX,5485.139090538025,233.9
INS_60M_PAYMENT_DIFFERENCE_MEAN,5432.84247469902,240.6
INS_60M_SK_ID_PREV_SIZE,5431.634126472473,261.5
PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,5425.775447320938,276.4
APPROVED_AMT_GOODS_PRICE_MAX,5405.578335905075,251.0
BUREAU_LAST6M_AMT_CREDIT_SUM_MAX,5390.867983675003,276.8
INS_12M_LIMIT_USE_MAX,5360.2965733528135,190.7
APPROVED_DAYS_LAST_DUE_DIFF_MAX,5339.252676343918,271.8
PREV_Cash_SIMPLE_INTERESTS_VAR,5324.9740857124325,294.2
INS_60M_AMT_PAYMENT_MEAN,5306.893710327148,257.2
PREV_APPLICATION_CREDIT_DIFF_MIN,5299.445537614823,267.5
PREV_Cash_AMT_ANNUITY_MEAN,5297.811593198776,278.3
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MIN,5278.535793066025,215.2
INS_36M_LATE_PAYMENT_MEAN,5256.731168794632,221.8
BUREAU_LAST6M_DEBT_CREDIT_DIFF_MEAN,5244.841097545624,253.7
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MAX,5242.930239200592,194.3
INS_AMT_INSTALMENT_MAX,5232.771938800812,240.0
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,5223.745875597,240.1
TOTAL_REPAYMENT_RATIO,5197.320829582214,254.9
INS_60M_AMT_INSTALMENT_MEAN,5191.684258699417,261.7
INS_36M_AMT_INSTALMENT_SUM,5189.916009044648,239.0
INS_36M_AMT_PAYMENT_MAX,5187.6763813972475,243.5
APPROVED_AMT_ANNUITY_MAX,5176.56131401062,247.0
PREV_Cash_AMT_CREDIT_SUM,5167.352287483215,257.5
INS_60M_AMT_INSTALMENT_SUM,5163.192067670822,228.6
12_TREND_PAID_OVER_AMOUNT,5159.129725933075,276.2
APPROVED_DAYS_DECISION_MEAN,5137.840177536011,238.0
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MEAN,5123.497858715057,228.1
INS_PAYMENT_DIFFERENCE_MEAN,5122.7391063213345,221.3
POS_REMAINING_INSTALMENTS_RATIO,5119.315112113953,247.1
PREV_CREDIT_TO_ANNUITY_RATIO_MAX,5079.214228820801,246.4
PREV_ACTIVE_AMT_APPLICATION_MEAN,5043.724990844727,255.9
BUREAU_SK_ID_BUREAU_NUNIQUE,5041.768068695068,243.3
PREV_LAST12M_AMT_ANNUITY_MEAN,5036.119895553589,265.9
INS_DPD_7_MEAN,5026.378081417084,177.9
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MEAN,5005.3570828437805,194.8
DEF_60_CNT_SOCIAL_CIRCLE,4961.501823472977,189.1
PREV_Cash_AMT_ANNUITY_MAX,4960.387345409394,266.2
AMT_CREDIT_MAX_OVERDUE,4926.982040596008,212.1
APPROVED_AMT_CREDIT_MEAN,4900.78423871994,244.9
INS_LATE_PAYMENT_RATIO_MEAN,4891.737295103073,236.2
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MAX,4872.280236530304,196.9
PREV_LAST12M_AMT_CREDIT_SUM,4852.605425357819,246.9
24_TREND_PAID_OVER_AMOUNT,4829.657898807525,257.2
PREV_ACTIVE_AMT_ANNUITY_SUM,4821.826877117157,242.2
BUREAU_MONTHS_BALANCE_SIZE_MEAN,4796.46153883934,223.1
60_TREND_PAID_OVER_AMOUNT,4769.23507604599,246.1
ENTRANCES_AVG,4766.9121747970585,242.7
APPROVED_CREDIT_TO_ANNUITY_RATIO_MAX,4761.22650718689,231.9
REFUSED_APPLICATION_CREDIT_RATIO_MEAN,4759.931346273423,219.7
FLAG_WORK_PHONE,4750.336499023438,214.2
PREV_ACTIVE_AMT_ANNUITY_MAX,4706.854226493835,234.0
BUREAU_LL_DEBT_CREDIT_DIFF_MEAN,4701.122271633149,228.9
INS_60M_AMT_INSTALMENT_MAX,4697.164375209808,220.4
INS_36M_PAYMENT_DIFFERENCE_MEAN,4685.991847896576,207.1
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,4676.877979898452,225.7
APPROVED_DAYS_TERMINATION_MEAN,4674.183571815491,226.3
APPROVED_AMT_CREDIT_MAX,4669.561666965485,223.0
LAST_LOAN_PAID_OVER_AMOUNT_mean,4669.412436771393,183.4
PREV_AMT_ANNUITY_MAX,4656.671300172806,242.0
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_MEAN,4647.110540008545,268.4
BUREAU_STATUS_C_MEAN,4627.015741157532,233.0
BUREAU_MICROLOAN_DAYS_CREDIT_MEAN,4622.581952857971,120.7
INS_LATE_PAYMENT_MEAN,4617.445333242416,222.5
INS_60M_DPD_VAR,4616.217782497406,189.7
INS_24M_CNT_DRAWINGS_ATM_CURRENT_MEAN,4600.043126010894,104.3
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MAX,4588.273044872284,237.5
PREV_NAME_YIELD_GROUP_middle_MEAN,4580.610406780243,238.4
REFUSED_AMT_CREDIT_MAX,4573.620647954941,203.7
NAME_INCOME_TYPE,4572.773309421539,160.7
